rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
198,Old Dominion,SB,19-12,101.7571583,233,103.5658334,155,0.449519934,198,19,12,11,7,7-Nov,0.480593448,0.443068976,0.507002219,0.480593448,0.443068976,0.507002219,0.873352489,0.882811108,103.9354851,104.1208128,103.9354851,104.1208128,102.3945054,102.667973,98.51612955,106.4104553,0.291840729,1,0.125322116,1215,1206,1191.8875,1.019391511,1.011840463,0,0.611111111,-5.690420539,131,7
199,Navy,Pat,18-13,101.5479153,236,103.5660407,156,0.443663895,199,18,13,11,7,7-Nov,0.34287849,0.42811269,0.293938494,0.34287849,0.42811269,0.293938494,0.907319108,0.849553396,101.5477407,107.4791348,101.5477407,107.4791348,99.71108579,101.7295526,105.6038528,111.8940337,0.339536467,2,-0.030133973,1223,1115,1167.85,1.04722353,0.954745901,0,0.611111111,-8.541854815,185,247
200,Weber St.,BSky,18-15,99.306958,284,101.3037246,107,0.4430145,200,18,15,12,6,6-Dec,0.462728225,0.512412123,0.422615403,0.462728225,0.512412123,0.422615403,0.868161519,0.815884765,105.5493329,105.6992848,105.5493329,105.6992848,99.04999044,100.4078234,110.6336668,92.65078498,0.88492825,1,0.063630103,1227,1212,1194.5375,1.02717579,1.014618629,0,0.666666667,-8.151014398,177,48
201,Gardner Webb,BSth,15-16,98.78328838,290,101.1837661,106,0.431406815,201,15,16,10,8,8-Oct,0.380450018,0.432460538,0.34901214,0.380450018,0.432460538,0.34901214,0.905446663,0.863195781,103.0520392,106.8867021,103.0520392,106.8867021,98.98422285,101.6475013,100.0669976,95.94042176,0.618761391,1,-0.069076379,1246,1200,1210.475,1.029347983,0.991346372,0,0.555555556,-11.2042114,240,319
202,Morehead St.,OVC,21-11,101.015337,250,103.7285055,160,0.424383781,202,21,11,14,4,14-4,0.305785494,0.399205542,0.239026653,0.305785494,0.399205542,0.239026653,0.905612575,0.825542301,102.1241307,108.2137654,102.1241307,108.2137654,103.1033469,103.0846191,89.46968548,97.6968192,0.266658016,2,0.01851023,1265,1176,1177.4,1.074401223,0.998810939,0,0.777777778,-6.498460649,149,142
203,Florida Gulf Coast,ASun,17-15,103.6524742,190,106.4798903,219,0.423238497,203,17,15,7,11,11-Jul,0.434605891,0.490935675,0.394685709,0.434605891,0.490935675,0.394685709,0.863470574,0.802604211,104.2639502,105.9251005,104.2639502,105.9251005,101.6572128,107.8651644,102.7082843,105.5636747,0.421809953,4,0.029134286,1282,1296,1211.2375,1.058421656,1.069980082,0,0.388888889,-8.543508981,186,120
204,FIU,CUSA,14-18,102.8163977,210,105.6545419,200,0.422347597,204,14,18,8,12,12-Aug,0.473276437,0.288463375,0.574837727,0.473276437,0.288463375,0.574837727,0.85451055,0.918816065,105.1380665,105.0223058,105.1380665,105.0223058,103.5419022,105.1605602,95.10599164,104.8445654,0.24580731,4,-0.038819236,1419,1493,1396.8375,1.015866198,1.068843011,0,0.4,-10.90890073,237,264
205,Queens,ASun,18-15,106.2635815,139,109.2539663,278,0.420881965,205,18,15,7,11,11-Jul,0.399731843,0.308908265,0.447304377,0.399731843,0.308908265,0.447304377,0.893820247,0.91988183,103.5588486,106.316354,103.5588486,106.316354,107.9747765,112.4997223,96.86530113,96.52588599,0.510090295,1,0.019284126,1395,1421,1271.15,1.09743146,1.117885379,0,0.388888889,-9.323351811,196,141
206,Georgetown,BE,25-Jul,103.5120713,195,106.4718204,218,0.419650246,206,7,25,2,18,18-Feb,0.660212621,0.419120913,0.786418644,0.660212621,0.419120913,0.786418644,0.723443252,0.881958427,109.0212636,101.4278137,109.0212636,101.4278137,104.2571696,105.2240894,110.3326941,108.1215174,0.557941569,12,-0.085802253,1364,1604,1403.8875,0.971587823,1.142541692,0,0.1,-12.71270988,270,343
207,Florida St.,ACC,23-Sep,104.175429,176,107.2862646,236,0.416203079,207,9,23,7,13,13-Jul,0.646465249,0.591192791,0.682540415,0.646465249,0.591192791,0.682540415,0.765591905,0.815714849,108.7954039,102.0604792,108.7954039,102.0604792,104.4626291,106.317108,108.1686048,113.5377189,0.364217496,7,-0.029783477,1402,1540,1371.625,1.022145266,1.122755855,0,0.35,-12.09018899,258,246
208,Northern Iowa,MVC,14-18,103.2078262,204,106.3520296,214,0.414567688,208,14,18,9,11,11-Sep,0.482301651,0.449160363,0.497386021,0.482301651,0.449160363,0.497386021,0.869605204,0.900802396,104.1700526,104.4350225,104.1700526,104.4350225,103.4136365,107.2451601,114.7537735,101.1195327,0.810702663,1,-0.023094078,1386,1442,1358.9375,1.019914455,1.06112312,0,0.45,-11.35152398,244,221
209,San Diego,WCC,20-Nov,109.5989403,90,112.9877909,334,0.413334235,209,11,20,4,12,12-Apr,0.540221203,0.395553636,0.666652085,0.540221203,0.395553636,0.666652085,0.818292045,0.898433746,107.4438908,103.5361619,107.4438908,103.5361619,108.4408733,111.3484795,119.6572775,120.3341847,0.483787495,5,-0.055287548,1206,1330,1131.25,1.066077348,1.175690608,0,0.25,-11.77293237,252,298
210,La Salle,A10,15-19,103.7675284,187,106.9906946,227,0.412953056,210,15,19,7,11,11-Jul,0.499033608,0.476336368,0.513311739,0.499033608,0.476336368,0.513311739,0.857098108,0.848744995,103.9170166,103.7555236,103.9170166,103.7555236,104.9384915,108.5586546,100.5032809,108.4327641,0.294566211,4,0.005070077,1272,1328,1227.775,1.036020443,1.081631406,0,0.388888889,-11.43455171,247,160
211,Minnesota,B10,22-Sep,102.0621062,224,105.2406898,188,0.412730805,211,9,22,2,17,17-Feb,0.678255716,0.393134959,0.81854251,0.678255716,0.393134959,0.81854251,0.721857872,0.895300527,107.9014471,100.0564089,107.9014471,100.0564089,103.1718274,106.3386726,101.7956126,108.4126641,0.326458691,10,0.001735497,1201,1435,1262.2875,0.951447273,1.13682501,0,0.105263158,-9.844222453,211,166
212,New Mexico St.,WAC,15-Sep,103.551372,194,106.9282966,225,0.40877242,212,9,15,2,10,10-Feb,0.524415528,0.458580846,0.59025021,0.524415528,0.458580846,0.59025021,0.824520294,0.818503862,105.7661927,101.4765936,105.7661927,101.4765936,99.3858646,108.1811704,109.0467368,105.4614416,0.594947962,2,-0.037553962,825,925,850.725,0.969761086,1.087307884,0,0.166666667,-8.683977513,188,259
213,Howard,MEAC,22-12,103.1994381,205,106.5734304,220,0.408549599,213,22.0594348,12.9405652,11,3,3-Nov,0.335464721,0.418214978,0.248393791,0.352056795,0.418214978,0.248393791,0.896168802,0.863568479,100.8652221,106.6578011,101.2678688,106.2119762,107.8763949,109.4568633,93.7978856,101.2935717,0.292323227,2,0.050618635,1141,1028,1015.8625,1.123183502,1.011947975,0,0.785714286,-7.169697777,157,73
214,South Carolina,SEC,21-Nov,103.149771,207,106.6198425,221,0.406004483,214,11,21,4,14,14-Apr,0.649099357,0.467578014,0.780393742,0.649099357,0.467578014,0.780393742,0.745281574,0.871170424,108.1093929,101.264283,108.1093929,101.264283,104.7373052,106.5537752,115.381289,118.3526557,0.427415036,10,0.048167237,1155,1359,1196.35,0.965436536,1.135955197,0,0.222222222,-9.36664969,198,75
215,Norfolk St.,MEAC,22-11,105.8611606,150,109.4918582,281,0.404246955,215,22,11,9,5,5-Sep,0.30336182,0.343322021,0.248996311,0.30336182,0.343322021,0.248996311,0.882633489,0.809533729,100.4839034,106.6313417,100.4839034,106.6313417,107.405543,109.6513202,106.0022851,119.5073762,0.201161521,4,0.033882085,1082,967,963.5375,1.122945397,1.003593529,0,0.642857143,-5.781496289,133,112
216,Massachusetts,A10,15-16,100.2005772,272,103.6802717,158,0.403094954,216,15,16,6,12,12-Jun,0.517497868,0.503739855,0.52750751,0.517497868,0.503739855,0.52750751,0.86342661,0.861172159,104.1109557,103.6842383,104.1109557,103.6842383,102.4658135,107.0995491,87.85027148,94.14462741,0.310928883,2,0.076886066,1285,1355,1269.5375,1.012179632,1.067317822,0,0.333333333,-9.161193032,194,34
217,Northern Arizona,BSky,23-Dec,106.9694468,129,110.7700498,302,0.400951627,217,12,23,5,13,13-May,0.486198897,0.562718562,0.427193661,0.486198897,0.562718562,0.427193661,0.852444722,0.772513017,105.9113316,105.0251291,105.9113316,105.0251291,104.1276286,110.0814712,95.83338951,107.9469277,0.202809236,4,-0.088710909,1283,1320,1202.2375,1.067176827,1.097952776,0,0.277777778,-15.07318486,305,345
218,Bryant,AE,17-13,103.3775477,201,107.1233793,233,0.399074062,218,17,13,8,8,8-Aug,0.3852729,0.448195592,0.337861694,0.3852729,0.448195592,0.337861694,0.88712805,0.839066078,103.0547308,106.6761307,103.0547308,106.6761307,102.2099994,107.9533095,97.40517055,99.84684893,0.429297141,3,0.03441212,1206,1176,1129.075,1.068130992,1.041560569,0,0.5,-7.773866699,173,110
219,Rider,MAAC,16-14,104.9963641,160,108.8738104,270,0.397226813,219,16,14,13,7,13-7,0.365373533,0.399869601,0.35771727,0.365373533,0.399869601,0.35771727,0.900035743,0.848813307,101.0004099,105.839933,101.0004099,105.839933,104.7488729,106.9509356,100.2437011,97.47299732,0.579892399,3,-0.016415404,1395,1330,1306.6375,1.067625872,1.017879863,0,0.65,-9.313907215,195,202
220,Murray St.,MVC,17-15,105.6242642,153,109.5395144,282,0.396859441,220,17,15,11,9,9-Nov,0.478159568,0.422204189,0.499597438,0.478159568,0.422204189,0.499597438,0.851600695,0.857532696,103.7954716,104.1183494,103.7954716,104.1183494,106.2414944,110.9932502,113.2553342,105.0110284,0.704571735,3,0.088419575,1397,1481,1339.375,1.043023798,1.105739617,0,0.55,-7.686227628,170,24
221,Siena,MAAC,17-15,100.542449,258,104.2709908,169,0.396815541,221,17,15,11,9,9-Nov,0.376780513,0.417534022,0.357757604,0.376780513,0.417534022,0.357757604,0.913505898,0.89905846,101.1379661,106.1338677,101.1379661,106.1338677,98.82183024,102.2134911,83.6640466,111.288336,0.036224458,1,0.004002923,1353,1312,1340.6125,1.009240179,0.978657144,0,0.55,-10.38123153,228,163
222,Oregon St.,P12,21-Nov,98.66661293,294,102.3679124,126,0.395677884,222,11,21,5,15,15-May,0.626013786,0.383846304,0.751273568,0.626013786,0.383846304,0.751273568,0.739509813,0.855569373,106.8339606,100.1749281,106.8339606,100.1749281,99.54237257,101.7864376,106.0332315,108.2567844,0.440615337,11,0.015821777,1181,1367,1275.625,0.925820676,1.071631553,0,0.25,-9.342802169,197,145
223,Detroit,Horz,14-19,109.6688632,89,113.8625498,342,0.393755062,223,14,19,9,11,11-Sep,0.413952999,0.534093995,0.345998017,0.413952999,0.534093995,0.345998017,0.88156776,0.792421207,103.4104019,106.797947,103.4104019,106.797947,109.9121177,115.3290193,90.93070016,113.8154548,0.070336792,3,-0.072142289,1579,1514,1373.3,1.149785189,1.102453943,0,0.45,-12.92886371,273,325
224,North Dakota St.,Sum,16-17,103.4640328,197,107.4780764,241,0.392283739,224,16,17,11,7,7-Nov,0.428336299,0.531620712,0.348428627,0.428336299,0.531620712,0.348428627,0.858847871,0.767490136,105.5802596,106.9692235,105.5802596,106.9692235,104.7474887,105.4949163,88.87750407,95.29552743,0.30963551,4,-0.003611477,1326,1257,1215.7125,1.090718406,1.033961566,0,0.611111111,-10.13492064,222,176
225,Mercer,SC,14-19,98.72963262,292,102.6533503,135,0.389792272,225,14,19,6,12,12-Jun,0.398151224,0.372164497,0.41272606,0.398151224,0.372164497,0.41272606,0.905730353,0.91852224,103.8351548,107.3034466,103.8351548,107.3034466,94.25484508,102.676008,0,0,0,0,-0.085490231,1141,1202,1172.3375,0.973269216,1.025302014,0,0.333333333,-13.80687258,290,342
226,Northwestern St.,Slnd,22-11,104.6589468,163,108.9672486,272,0.386057508,226,22,11,13,5,13-5,0.336318991,0.493169849,0.224629905,0.336318991,0.493169849,0.224629905,0.885773764,0.771601561,102.5089433,108.9770379,102.5089433,108.9770379,103.5050621,109.2010528,93.28957364,90.07784491,0.599382361,4,0.08989706,1396,1278,1239.5125,1.126249231,1.031050514,0,0.722222222,-5.600809881,128,22
227,Campbell,BSth,16-18,104.7494803,162,109.2152641,276,0.38222468,227,16,18,8,10,10-Aug,0.376391938,0.399436481,0.354369036,0.376391938,0.399436481,0.354369036,0.913863056,0.887732278,102.0571446,106.2256446,102.0571446,106.2256446,101.7164418,108.1312824,102.2426752,93.94468653,0.725795549,1,-0.052815775,1236,1240,1178.6875,1.048623999,1.052017604,0,0.444444444,-13.11742762,276,292
228,North Florida,ASun,14-17,108.8183822,101,113.7456667,341,0.375363753,228,14,17,9,9,9-Sep,0.441009787,0.47341058,0.426316617,0.441009787,0.47341058,0.426316617,0.842032633,0.73827223,105.4463967,106.0476536,105.4463967,106.0476536,110.266576,114.938924,85.42535455,109.8542878,0.052531204,3,-0.011587073,1393,1406,1233.7375,1.129089454,1.139626541,0,0.5,-10.01371472,216,192
229,Rice,CUSA,18-15,105.9893823,146,110.8568882,306,0.373703019,229,18,15,8,12,12-Aug,0.480054313,0.287470028,0.579608395,0.480054313,0.287470028,0.579608395,0.842061134,0.895375894,105.2007044,103.7671508,105.2007044,103.7671508,103.915095,110.4148226,110.5310017,103.6735382,0.676244268,4,0.107087606,1441,1572,1412.1,1.020465973,1.113235607,0,0.4,-7.273023948,160,14
230,Jacksonville,ASun,13-16,100.3643382,268,104.9914038,182,0.373244549,230,13,16,6,12,12-Jun,0.432287609,0.438187837,0.428681915,0.432287609,0.438187837,0.428681915,0.869054157,0.808638008,105.5771971,106.0379803,105.5771971,106.0379803,100.1992152,105.7256984,103.7979644,99.95830679,0.606702376,3,-0.014163007,1111,1168,1088.2125,1.020940303,1.073319779,0,0.333333333,-10.16928931,223,197
231,Loyola Chicago,A10,21-Oct,102.2731322,221,106.9927077,228,0.373131166,231,10,21,4,14,14-Apr,0.514960972,0.445812592,0.562532357,0.514960972,0.445812592,0.562532357,0.847298014,0.846947296,104.5091212,104.2162259,104.5091212,104.2162259,103.1133936,109.2513671,117.0164165,117.7623171,0.481740103,3,-0.069487404,1211,1364,1220.6875,0.992063898,1.117403103,0,0.222222222,-13.62753812,288,320
232,UC San Diego,BW,20-Oct,103.4522251,200,108.2487075,260,0.37257228,232,10,20,5,13,13-May,0.45728816,0.418795933,0.482949645,0.45728816,0.418795933,0.482949645,0.867293896,0.846190111,103.7732489,103.9456148,103.7732489,103.9456148,104.7563292,108.1748927,86.78274593,87.26756593,0.483988716,2,-0.106911786,1271,1352,1247.1375,1.019133816,1.084082549,0,0.277777778,-13.86069916,291,352
233,UT Arlington,WAC,21-Nov,99.98923171,274,104.6487349,175,0.371966686,233,11,21,6,12,12-Jun,0.530046359,0.463533011,0.572494523,0.530046359,0.463533011,0.572494523,0.84528373,0.853790484,105.2179862,101.7587226,105.2179862,101.7587226,100.5706802,104.0705067,97.29068238,99.26532963,0.442487896,3,-0.028614747,1174,1284,1216.6,0.964984383,1.055400296,0,0.333333333,-13.22953024,281,239
234,Northern Colorado,BSky,20-Dec,105.9485469,147,110.9804103,309,0.369677281,234,13,19,6,12,12-Jun,0.481541471,0.550207699,0.430603968,0.481541471,0.550207699,0.430603968,0.841211814,0.744376413,105.8442941,105.2717514,105.8442941,105.2717514,103.3338542,110.1256755,100.9823679,109.8532676,0.275220353,4,-0.04089966,1342,1360,1251.65,1.072184716,1.086565733,0,0.333333333,-12.57851164,264,272
235,Jacksonville St.,ASun,13-18,101.5378155,237,106.4166305,217,0.368257009,235,13,18,6,12,12-Jun,0.428969921,0.401679774,0.448679471,0.428969921,0.401679774,0.448679471,0.855044038,0.817701779,105.1896352,105.7486927,105.1896352,105.7486927,99.48072813,105.5190152,92.60023345,115.7565213,0.071307926,4,-0.053492269,1197,1241,1175,1.018723404,1.056170213,0,0.333333333,-11.42295682,246,296
236,Portland St.,BSky,19-Dec,102.7730064,212,107.8961822,251,0.363677581,236,12,19,6,11,11-Jun,0.458806584,0.513719333,0.422057381,0.458806584,0.513719333,0.422057381,0.867645862,0.810734612,105.5328535,105.4660643,105.5328535,105.4660643,101.4032739,107.740188,133.194476,138.9952441,0.379837394,2,-0.039485741,1244,1305,1202.3,1.034683523,1.085419612,0,0.352941176,-12.62856965,266,267
237,Delaware,CAA,17-16,102.0452695,226,107.2008709,235,0.361973193,237,17,16,8,10,10-Aug,0.426386464,0.459627073,0.403918525,0.426386464,0.459627073,0.403918525,0.877823557,0.85291846,103.1785087,106.1929359,103.1785087,106.1929359,100.4143629,104.7349885,99.2289944,103.022864,0.393771081,2,0.040347103,1231,1251,1216.375,1.01202343,1.028465728,0,0.444444444,-9.73466239,206,93
238,Army,Pat,17-16,102.7454563,213,108.1640457,257,0.356397315,238,17,16,10,8,8-Oct,0.291925627,0.251169073,0.303447919,0.291925627,0.251169073,0.303447919,0.937561886,0.949173226,99.54986695,107.5017174,99.54986695,107.5017174,104.213305,106.2460152,0,0,0,0,-0.075173235,1287,1228,1205.3625,1.067728588,1.018780657,0,0.555555556,-12.48439026,263,328
239,Milwaukee,Horz,21-11,102.0600988,225,107.5144229,244,0.354635138,239,21,11,14,6,14-6,0.361262202,0.368248394,0.349840023,0.361262202,0.368248394,0.349840023,0.897532987,0.830644791,103.0947982,107.4678937,103.0947982,107.4678937,101.0106402,107.3574943,83.55490129,93.75727176,0.210010674,2,0.117419618,1542,1538,1469.825,1.049104485,1.046383073,0,0.7,-6.080915731,143,11
240,Wofford,SC,17-16,108.2233162,108,114.1171566,343,0.352097771,240,17,16,8,10,10-Aug,0.409283802,0.372537329,0.4168403,0.409283802,0.372537329,0.4168403,0.874997125,0.845065947,103.7611415,106.0235676,103.7611415,106.0235676,107.8970103,114.9258297,119.2776481,103.4742574,0.836786193,2,0.02983181,1342,1379,1214.25,1.105208977,1.135680461,0,0.444444444,-9.707528817,205,118
241,Northern Illinois,MAC,13-19,100.6008551,257,106.2687007,211,0.347439009,241,14,18,9,9,9-Sep,0.431000128,0.452974196,0.396589027,0.431000128,0.452974196,0.396589027,0.854584426,0.787972101,104.5890284,106.653641,104.5890284,106.653641,102.5616574,105.4192768,93.04523641,104.0320798,0.216945603,3,-0.048213678,1347,1334,1263.525,1.066065175,1.055776498,0,0.5,-12.08023327,257,284
242,Rhode Island,A10,22-Sep,97.61414268,311,103.1322288,146,0.346971111,242,9,22,5,13,13-May,0.502742984,0.46756451,0.53118363,0.502742984,0.46756451,0.53118363,0.874809574,0.882846158,104.022739,103.8597294,104.022739,103.8597294,98.55091166,103.1154953,145.2466518,170.1895747,0.139132296,1,-0.084398272,1198,1300,1250.2125,0.9582371,1.03982323,0,0.277777778,-15.67189432,321,340
243,Robert Morris,Horz,16-17,98.09667282,304,104.0829383,164,0.335993957,243,16,17,10,10,10-Oct,0.361671845,0.387307676,0.35167467,0.361671845,0.387307676,0.35167467,0.906223506,0.866118288,102.4459437,108.1101848,102.4459437,108.1101848,98.41213407,103.1895829,86.86829751,99.24817582,0.177679408,2,-0.02833446,1386,1340,1332.825,1.039896461,1.005383302,0,0.5,-12.01755855,256,237
244,Idaho St.,BSky,21-Nov,101.8498213,230,108.1131888,254,0.334853912,244,11,21,8,10,10-Aug,0.41589283,0.382718908,0.434410015,0.41589283,0.382718908,0.434410015,0.889629749,0.872743301,104.4489463,106.8443668,104.4489463,106.8443668,102.6011175,106.6423313,96.45057692,99.02408488,0.424867673,1,-0.104133055,1254,1286,1194.625,1.049701789,1.076488438,0,0.444444444,-15.33025054,313,350
245,Fort Wayne,Horz,17-15,100.0208892,273,106.2515611,210,0.332932803,245,17,15,9,11,11-Sep,0.366741301,0.384480305,0.35197622,0.366741301,0.384480305,0.35197622,0.902003247,0.857072271,103.0645746,108.1626548,103.0645746,108.1626548,99.45032173,107.675665,82.35307048,86.56572732,0.360380114,2,0.027537021,1436,1477,1394.95,1.029427578,1.058819313,0,0.45,-10.02872639,217,124
246,Western Carolina,SC,18-15,101.6706046,234,108.0465485,252,0.331928625,246,18,15,10,8,8-Oct,0.385308495,0.317671449,0.419046491,0.385308495,0.317671449,0.419046491,0.895300405,0.896825297,103.5160393,107.0164138,103.5160393,107.0164138,100.5182638,106.7676018,77.38545455,87.92605308,0.187167799,1,0.060209308,1279,1303,1230.6625,1.039277625,1.058779316,0,0.555555556,-9.497429591,201,57
247,Winthrop,BSth,15-17,107.677741,120,114.6352571,348,0.32738329,247,15,17,10,8,8-Oct,0.406686465,0.464823048,0.36036203,0.406686465,0.464823048,0.36036203,0.883124523,0.819443212,103.3882821,106.129929,103.3882821,106.129929,107.4280326,113.656821,106.8445427,117.8044682,0.245457109,2,0.012542367,1317,1307,1195.0875,1.102011359,1.093643771,0,0.555555556,-11.19195409,239,147
248,North Alabama,ASun,18-14,104.5206061,167,111.3114077,314,0.326535558,248,18,14,10,8,8-Oct,0.406315525,0.374820036,0.417075124,0.406315525,0.374820036,0.417075124,0.872247292,0.8449882,103.7771766,106.0614892,103.7771766,106.0614892,106.4502993,111.5379064,94.37691822,106.469094,0.199979986,3,0.105100903,1352,1382,1240.1125,1.090223669,1.114415023,0,0.555555556,-7.760748392,172,16
249,East Tennessee St.,SC,20-Dec,100.5131463,260,107.0990346,232,0.325227096,249,12,20,8,10,10-Aug,0.392176818,0.358590968,0.419780387,0.392176818,0.358590968,0.419780387,0.907770445,0.919023235,103.6374168,107.3620149,103.6374168,107.3620149,100.6976005,105.7566236,0,0,0,0,-0.094955352,1231,1243,1184.3375,1.039399664,1.049531911,0,0.444444444,-15.09104833,307,347
250,Canisius,MAAC,20-Oct,101.4826053,239,108.1513344,255,0.324776399,250,10,20,8,12,12-Aug,0.404623718,0.504555651,0.364839863,0.404623718,0.504555651,0.364839863,0.894271573,0.835862271,102.9147237,105.882818,102.9147237,105.882818,101.14202,107.8519408,101.0110479,113.6892139,0.204281861,2,-0.110758746,1373,1405,1345.7375,1.020258408,1.044037192,0,0.4,-14.9381038,303,355
251,UMBC,AE,18-14,104.5086157,168,111.4219313,316,0.323741809,251,18,14,8,8,8-Aug,0.333309052,0.32894474,0.347118889,0.333309052,0.32894474,0.347118889,0.910059391,0.893771586,100.6788528,107.9064903,100.6788528,107.9064903,102.810541,111.6649814,97.88926515,95.20326303,0.579314691,1,0.025582846,1153,1173,1084.925,1.062746273,1.081180727,0,0.5,-9.461596308,200,129
252,USC Upstate,BSth,16-15,98.6818787,293,105.2740464,190,0.32220558,252,16,15,10,8,8-Oct,0.393564431,0.434953228,0.360929246,0.393564431,0.434953228,0.360929246,0.890633744,0.825800971,103.2531847,106.575413,103.2531847,106.575413,97.18780007,101.9604102,93.82332259,110.2827143,0.134844392,2,0.060419287,1231,1228,1232.7375,0.998590535,0.996156927,0,0.555555556,-9.669758973,204,56
253,Bellarmine,ASun,15-18,102.1572178,223,109.2227999,277,0.316677328,253,15,18,9,9,9-Sep,0.461157174,0.449896149,0.451623752,0.461157174,0.449896149,0.451623752,0.832080595,0.772941278,105.9713317,104.9572451,105.9713317,104.9572451,101.2451753,108.642848,100.8900251,106.6291313,0.346095762,6,0.05238327,1171,1236,1136.5125,1.030345025,1.087537533,0,0.5,-10.089972,220,68
254,Alcorn St.,SWAC,18-13,101.0305063,249,108.2698252,261,0.310914853,254,18,13,15,3,15-3,0.385744662,0.662339309,0.208003364,0.385744662,0.662339309,0.208003364,0.868361972,0.71793092,99.38673961,104.4144068,99.38673961,104.4144068,102.6960873,108.5049573,85.91503433,111.0794987,0.049538189,3,0.122053592,1329,1225,1248.4625,1.064509346,0.981206884,0,0.833333333,-6.935146079,156,10
255,UT Rio Grande Valley,WAC,15-17,102.6947599,215,110.0733475,291,0.310466937,255,15,17,5,12,12-May,0.450438545,0.289552386,0.574298971,0.450438545,0.289552386,0.574298971,0.858539507,0.878061555,105.0080055,104.3165531,105.0080055,104.3165531,101.2704048,107.214136,94.6762277,107.3599607,0.190644131,3,0.045609997,1239,1336,1250.1125,0.9911108,1.068703817,0,0.294117647,-10.22521264,225,79
256,Sacramento St.,BSky,14-18,101.7776143,231,109.1415957,274,0.309310904,256,14,18,7,11,11-Jul,0.458233426,0.488514869,0.437208991,0.458233426,0.488514869,0.437208991,0.868304355,0.819377694,104.9168806,105.0828197,104.9168806,105.0828197,99.43038582,107.9291683,93.20848054,98.29752,0.351753357,1,0.055855289,1177,1215,1137.325,1.034884488,1.068296221,0,0.388888889,-11.48572396,248,63
257,Niagara,MAAC,16-15,100.8671326,253,108.1811286,259,0.308950097,257,16,15,10,10,10-Oct,0.378493889,0.358617101,0.366401434,0.378493889,0.358617101,0.366401434,0.897282409,0.869357624,101.8535143,106.0983184,101.8535143,106.0983184,99.9429411,107.4602233,92.21599763,108.4580991,0.13404605,2,0.055620485,1294,1323,1281.425,1.009813294,1.032444349,0,0.5,-9.999745518,215,65
258,SIU Edwardsville,OVC,19-14,99.17463181,286,106.3992875,216,0.308180122,258,19,14,9,9,9-Sep,0.292705027,0.353201881,0.251717453,0.292705027,0.353201881,0.251717453,0.93180555,0.892308717,101.5094186,109.162161,101.5094186,109.162161,97.92275622,107.6194448,101.5670401,115.6406111,0.183571745,1,0.025127426,1328,1316,1279.375,1.038006839,1.028627259,0,0.5,-10.28738258,226,130
259,Southeastern Louisiana,Slnd,18-14,103.0404698,209,110.8182516,304,0.302198382,259,18,14,12,6,6-Dec,0.331426762,0.478151274,0.233802538,0.331426762,0.478151274,0.233802538,0.90010112,0.812282007,102.7686385,108.7785887,102.7686385,108.7785887,102.10205,110.9559961,106.2526346,109.6168495,0.411329454,2,0.037780053,1412,1362,1287.45,1.096741621,1.057905161,0,0.666666667,-9.116709348,192,100
260,Dartmouth,Ivy,18-Oct,99.76547315,276,107.3294205,237,0.301444789,260,10,18,6,8,8-Jun,0.432755659,0.347199977,0.518311341,0.432755659,0.347199977,0.518311341,0.890143788,0.919461485,103.1461246,104.7796933,103.1461246,104.7796933,104.1617852,107.8838968,0,0,0,0,-0.045040838,1033,1082,998.95,1.03408579,1.083137294,0,0.428571429,-12.94052387,274,281
261,Mount St. Mary's,MAAC,13-20,97.64330178,310,105.0694157,184,0.300913426,261,13,20,8,12,12-Aug,0.391515034,0.406400027,0.367195351,0.391515034,0.406400027,0.367195351,0.887390149,0.843523038,102.1834327,105.7819286,102.1834327,105.7819286,98.0488749,105.4057696,94.28408435,102.1261119,0.285201551,3,-0.044062154,1276,1350,1305.6375,0.977300361,1.033977655,0,0.4,-14.27263276,295,279
262,Louisiana Monroe,SB,21-Nov,97.65302884,309,105.3526591,196,0.294679056,262,11,21,7,11,11-Jul,0.474634227,0.391104536,0.535528424,0.474634227,0.391104536,0.535528424,0.844265139,0.839705606,104.7371603,103.7641059,104.7371603,103.7641059,99.17814058,103.1376389,84.96633679,105.6053437,0.075807786,2,-0.04134407,1167,1249,1193.975,0.9774074,1.046085555,0,0.388888889,-13.52156548,285,273
263,Southeast Missouri St.,OVC,19-16,100.3486052,269,108.3377043,262,0.292984011,263,19.32484301,16.67515699,10,8,8-Oct,0.320554261,0.427315182,0.253386189,0.32450376,0.427315182,0.253386189,0.91625794,0.848022947,101.3404548,107.9929893,101.4794592,107.9771043,100.7576872,110.9969974,105.8540126,110.4001996,0.381405483,2,0.03695379,1465,1443,1372.4625,1.067424429,1.051394847,0,0.555555556,-11.36415672,245,101
